,CIK,Name,Film_Number,Address,Address2,City,State,zip,Acct_Name,Acct_Address,Acct_City,Acct_State,Acct_Zip,Check One,Fiscal_Year,Acc_No,file_format
0,0000001904,ABRAHAM SECURITIES CORPORATION,00829452,3724 47TH STREET CT,,GIG HARBOR,WA,98335,"Mokuolu, Victor",8990 Kirby Drive Suite 220,Houston,TEXAS,77054,Certified Public Accountant,12-31-2024,0000001904-25-000002,xml
1,0000002303,"PROSPERA FINANCIAL SERVICES, INC.",00828164,5429 LBJ FREEWAY,SUITE 750,DALLAS,TX,75240,"Kinder, Brad A.",815 Parker Square,Flower Mound,TEXAS,75028,Certified Public Accountant,06-30-2025,0000002303-25-000008,xml
2,0000002554,"AEI SECURITIES, INC.",00816750,1300 WELLS FARGO PLACE,30 SEVENTH STREET EAST,ST. PAUL,MN,55101-4901,,,,,,,,,paper
3,0000003475,ALEXANDER INVESTMENT SERVICES CO.,00812525,909 LILY CREEK ROAD #101,12700 SHELBYVILLE ROAD,LOUISVILLE,KY,40243-2808,Cherry Bekaert,"101 South Fifth St, Suite 2100",Louisville,KENTUCKY,40202,Certified Public Accountant,06-30-2025,0000003475-25-000003,xml
4,0000003683,ALLEN & COMPANY LLC,00812123,711 FIFTH AVENUE,,NEW YORK,NY,10022,KPMG LLP,345 PARK AVENUE,New York,NEW YORK,10154,Certified Public Accountant,12-31-2024,0000003683-25-000001,xml
5,0000003995,"M. E. ALLISON & CO., INC.",00801402,950 EAST BASSE ROAD,SECOND FLOOR,SAN ANTONIO,TX,78209-1831,,,,,,,,,paper
6,0000005006,"AMERICAN FIDELITY SECURITIES, INC.",00815123,9000 CAMERON PARKWAY,,OKLAHOMA CITY,OK,73114,Deloitte  Touche LLP,"100 N. Broadway Ave, Suite 2340",Oklahoma City,OKLAHOMA,73102,Certified Public Accountant,12-31-2024,0000005006-25-000004,xml
7,0000005075,AMERICAN FUNDS & TRUSTS INCORPORATED,00806939,3030 SOUTH MAIN STREET,SUITE 100,SALT LAKE CITY,UT,84115-3554,Haynie  Company,1785 W 2320 S,Salt Lake City,UTAH,84119,Certified Public Accountant,12-31-2024,0000005075-25-000003,xml
8,0000005139,"WORLD CAPITAL BROKERAGE, INC.",00806805,1636 N. LOGAN STREET,SUITE 1400,DENVER,CO,80203,"Sanville and Company, LLC","325 North Saint Paul St., Ste 3100",Dallas,TEXAS,75201,Certified Public Accountant,05-31-2025,0000005139-25-000001,xml
9,0000005270,PINEBRIDGE SECURITIES LLC,00816586,65 EAST 55TH STREET,PARK AVENUE TOWER,NEW YORK,NY,10022,,,,,,,,,paper
10,0000007470,NATIXIS SECURITIES AMERICAS LLC,00800719,1251 AVENUE OF THE AMERICAS 5TH FLOOR,,NEW YORK,NY,10020,Deloitte  Touche LLP,30 Rockefeller Plaza,New York,NEW YORK,10112-0015,Certified Public Accountant,12-31-2015,0000007470-16-000004,xml
11,0000008486,"ONEAMERICA SECURITIES, INC.",00815009,ONE AMERICAN SQUARE,P.O. BOX 1984,INDIANAPOLIS,IN,46206-1984,Crowe LLP,485 Lexington Avenue,New York,NEW YORK,10017-2619,Certified Public Accountant,12-31-2024,0000008486-25-000002,xml
12,0000009211,ROBERT W. BAIRD & CO. Inc,00800497,P.O. BOX 672,,MILWAUKEE,WI,53201,,,,,,,,,paper
13,0000009318,"BALANCED SECURITY PLANNING, INC.",00814842,4701 TELLER AVENUE,,NEWPORT BEACH,CA,92660,,,,,,,,,paper
14,0000009319,"BCG SECURITIES, INC.",00812680,51 HADDONFIELD ROAD,SUITE 210,CHERRY HILL,NJ,08002,"Citrin Cooperman  Company, LLP","180 Park Avenue, Suite 200",Florham Park,NEW JERSEY,07932,Certified Public Accountant,12-31-2024,0000009319-25-000003,xml
15,0000011118,"INTERCOASTAL CAPITAL MARKETS, INC.",00809698,200 EAST PALMETTO PARK ROAD,SUITE 108,BOCA RATON,FL,33432,,,,,,,,,paper
16,0000012228,PYRAMID FUNDS CORPORATION,00812769,21 EVERETT ROAD EXTENSION,,ALBANY,NY,12205,,,,,,,,,paper
17,0000012265,BIRKELBACH & CO.,00816623,8080 CYPRESS HOLLOW COURT,,PONTE VEDRA BEACH,FL,32082,,,,,,,,,paper
18,0000012406,JAMES I. BLACK & COMPANY,00812077,P.O. BOX 24838,,LAKELAND,FL,33802,,,,,,,,,paper
19,0000012518,WILLIAM BLAIR & COMPANY L.L.C.,00802698,THE WILLIAM BLAIR BUILDING,150 NORTH RIVERSIDE,CHICAGO,IL,60606-1594,PricewaterhouseCoopers LLP,1 N Wacker Drive,Chicago,ILLINOIS,60606,Certified Public Accountant,12-31-2024,0000012518-25-000002,xml
20,0000012532,"STEWARD PARTNERS INVESTMENT SOLUTIONS, LLC",00802915,15495 SW SEQUOIA PARKWAY,SUITE 150,PORTLAND,OR,97224,"Baker Tilly, US, LLP",66 Hudson Blvd E Suite 2200,New York,NEW YORK,10001,Certified Public Accountant,12-31-2024,0000012532-25-000002,xml
21,0000012600,"PRINCIPAL SECURITIES, INC.",00813975,PRINCIPAL FINANCIAL GROUP,711 HIGH STREET,DES MOINES,IA,50392-2080,Ernst  Young LLP,801 Grand Avenue,Des Moines,IOWA,50309,Certified Public Accountant,12-31-2024,0000012600-25-000002,xml
22,0000013783,BRADLEY WOODS & CO. LTD.,00828862,"845 THIRD AVE, SUITE 1703",,NEW YORK,NY,10022,Weisberg Mole,185 Crossways Park Drive,Woodbury,NEW YORK,11797,Certified Public Accountant,02-28-2025,0000013783-25-000002,xml
23,0000014213,BRIGHTON SECURITIES CORP.,00814599,1703 MONROE AVENUE,,ROCHESTER,NY,14618-1487,"RDG and Partners CPAs, PLLC",10 Winthrop St.,New York,NEW YORK,14607,Certified Public Accountant,12-31-2024,0002013816-25-000019,xml
24,0000014632,"SMITH, BROWN & GROOVER, INC.",00813079,4001 VINEVILLE AVENUE,,MACON,GA,31210-5039,,,,,,,,,paper
25,0000014651,"BROWN ASSOCIATES, INC.",00815665,819 BROAD STREET,,CHATTANOOGA,TN,37402-2613,"RODEFER MOSS  CO., PLLC",608 MABRY HOOD ROAD,KNOXVILLE,TENNESSEE,37932,Certified Public Accountant,07-31-2025,0000014651-25-000003,xml
26,0000014745,"BROWN, LISLE/CUMMINGS, INC.",00812716,ONE TURKS HEAD PLACE - SUITE 800,,PROVIDENCE,RI,02903-2273,"PKF O'Connor Davies, LLP",40 Westminster Street,Providence,RHODE ISLAND,02903,Certified Public Accountant,12-31-2024,0000014745-25-000002,xml
27,0000015168,BUELL SECURITIES CORP.,00822058,200 GLASTONBURY BOULEVARD,SUITE 102,GLASTONBURY,CT,06033,,,,,,,,,paper
28,0000015681,"TAG WEALTH MANAGEMENT, LLC",00814485,20815 N CAVE CREEK ROAD,SUITE 401,PHOENIX,AZ,85024,Dylan Floyd Accounting  Consulting,20909 Judah Lane,Newhall,CALIFORNIA,91321,Certified Public Accountant,12-31-2024,0000015681-25-000001,xml
29,0000015867,JACK V. BUTTERFIELD INVESTMENT COMPANY,00812454,P.O. BOX 4057,,JACKSON,MI,49204,,,,,,,,,paper
30,0000017018,CANTOR FITZGERALD & CO.,00800201,"110 EAST 59TH STREET, 4TH FLOOR",,NEW YORK,NY,10022,Ernst  Young LLP,"One Manhattan West, 401 9th Avenue",New York,NEW YORK,10001,Certified Public Accountant,12-31-2024,0001688906-25-000004,xml
31,0000017071,CAPE SECURITIES INC.,00820747,1600 PENNSYLVANIA AVENUE,,MCDONOUGH,GA,30253,"Ohab and Company, PA",100 E Sybelia Ave Ste 13,Maitland,FLORIDA,32751,Certified Public Accountant,09-30-2024,0000017071-25-000002,xml
