CIK,Name,Form,Date,Path
1348362,Lexaria Bioscience Corp.,D,20251001,edgar/data/1348362/0001348362-25-000017.txt
1409158,SE-Las Colinas,D,20250930,edgar/data/1409158/0001409158-25-000003.txt
1409162,Sequoia Equities - Innsbrook Village Ltd,D,20250930,edgar/data/1409162/0001409162-25-000004.txt
1409162,Sequoia Equities - Innsbrook Village Ltd,D,20251001,edgar/data/1409162/0001409162-25-000005.txt
1621910,Pantheon Resources plc,D,20251001,edgar/data/1621910/0001062993-25-015866.txt
1744729,"Flora Coatings, Inc.",D,20251001,edgar/data/1744729/0001744729-25-000003.txt
1815598,Ginkgo Multifamily OP LP,D,20251001,edgar/data/1815598/0001815598-25-000003.txt
1842497,Frais Cannexion Inc.,D,20251001,edgar/data/1842497/0001842497-25-000006.txt
1866048,CC USRL LP,D,20251001,edgar/data/1866048/0001315863-25-000692.txt
1879942,Hawaiian Bros Inc.,D,20251001,edgar/data/1879942/0001879942-25-000006.txt
1890916,"Palos Surgicenter, LLC",D,20251001,edgar/data/1890916/0001890916-25-000002.txt
1894716,"Quadrant Private Capital Solutions Platform, LP",D,20251001,edgar/data/1894716/0001894716-25-000009.txt
1923943,Terra Rossa Gold Ltd.,D,20251001,edgar/data/1923943/0002060755-25-000046.txt
1937045,"BHC HC Co-Invest III, LLC",D,20251001,edgar/data/1937045/0001231919-25-000270.txt
1979836,Myriad Uranium Corp.,D,20251001,edgar/data/1979836/0001062993-25-015871.txt
2025983,"Service Provider Capital Pacific Northwest Fund I, LP",D,20251001,edgar/data/2025983/0001231919-25-000272.txt
2037428,"Barrel Reserve Technologies, Inc.",D,20251001,edgar/data/2037428/0002037428-25-000003.txt
2045300,Prince Silver Corp.,D,20251001,edgar/data/2045300/0002064835-25-000011.txt
2055508,"Accolade Partners Blockchain IV Feeder, L.P.",D,20251001,edgar/data/2055508/0000904454-25-000471.txt
2055562,"Accolade Partners Blockchain IV, L.P.",D,20251001,edgar/data/2055562/0000904454-25-000471.txt
2062163,"KRISHNA RIVER FUND, LP",D,20251001,edgar/data/2062163/0002062163-25-000003.txt
2062314,EquityZen Growth Technology Fund LLC - Series 2113,D,20251001,edgar/data/2062314/0002062314-25-000002.txt
2062699,EquityZen Growth Technology Fund LLC - Series 2109,D,20251001,edgar/data/2062699/0002062699-25-000002.txt
2065111,Bloom Anduril I a Series of Bloom Opportunities Fund I LLC,D,20251001,edgar/data/2065111/0002065111-25-000002.txt
2067621,"Vector Defense, Inc.",D,20251001,edgar/data/2067621/0002067621-25-000001.txt
2067621,"Vector Defense, Inc.",D,20251001,edgar/data/2067621/0002067621-25-000002.txt
2069953,"Apptronik VIII, a series of Tyrell Ventures Funds, LP",D,20251001,edgar/data/2069953/0002069953-25-000001.txt
2075191,"Project Jupiter Co-Invest Fund, L.P.",D,20251001,edgar/data/2075191/0002075191-25-000001.txt
2076673,EquityZen Growth Technology Fund LLC - Series 2143,D,20251001,edgar/data/2076673/0002076673-25-000001.txt
2077762,"LAM5 SPV, a series of Riverside Ventures Self-Advised, LP",D,20251001,edgar/data/2077762/0002077762-25-000001.txt
2078001,RD Real Estate Opportunity Fund I LP,D,20251001,edgar/data/2078001/0001753926-25-001563.txt
2078536,"Bluehenge Capital SBIC III, L.P.",D,20251001,edgar/data/2078536/0002078536-25-000001.txt
2078763,"Unio Concentrated Equity Fund, LLC",D,20251001,edgar/data/2078763/0001398344-25-018727.txt
2079021,Macquarie Global Infrastructure Fund (USD Feeder) SCSp,D,20251001,edgar/data/2079021/0002079021-25-000001.txt
2079086,"BizBridge Capital, LLC",D,20251001,edgar/data/2079086/0002079086-25-000001.txt
2079787,EquityZen Growth Technology Fund LLC - Series 2152,D,20251001,edgar/data/2079787/0002079787-25-000001.txt
2079789,EquityZen Growth Technology Fund LLC - Series 2150,D,20251001,edgar/data/2079789/0002079789-25-000001.txt
2080058,XFX Holdings Ltd,D,20251001,edgar/data/2080058/0001231919-25-000273.txt
2080522,Anduril II a Series of Bloom Opportunities Fund I LLC,D,20251001,edgar/data/2080522/0002080522-25-000002.txt
2082113,"Pemi Holdings, LLC",D,20251001,edgar/data/2082113/0002082113-25-000001.txt
2082376,"RI-0704 Fund I, a series of DataPower Ventures AL, LP",D,20251001,edgar/data/2082376/0002082376-25-000001.txt
2082741,Honor & Fire LLC,D,20251001,edgar/data/2082741/0002082741-25-000001.txt
2083289,StabledHorses Capital Fund LP,D,20251001,edgar/data/2083289/0002083289-25-000001.txt
2083454,"EnCap Energy Capital Fund VIII MergeCo, L.P.",D,20251001,edgar/data/2083454/0002083454-25-000001.txt
2083460,"EnCap Energy Capital Fund VIII Co-Investors MergeCo, L.P.",D,20251001,edgar/data/2083460/0002083460-25-000002.txt
2083467,Petershill Millennium Investors LLC,D,20251001,edgar/data/2083467/0002083467-25-000001.txt
2083492,Petershill Millennium Investors Offshore LP,D,20251001,edgar/data/2083492/0002083492-25-000001.txt
2083807,Petershill Millennium Investors Offshore B LP,D,20251001,edgar/data/2083807/0002083807-25-000001.txt
2083846,Petershill Millennium Investors C LLC,D,20251001,edgar/data/2083846/0002083846-25-000001.txt
2083902,Petershill Millennium Investors B LLC,D,20251001,edgar/data/2083902/0002083902-25-000001.txt
2084110,"TF Growth I, a series of TF Capital, LP",D,20251001,edgar/data/2084110/0002084110-25-000001.txt
2084494,"Yayati, Inc.",D,20251001,edgar/data/2084494/0002084494-25-000001.txt
2084494,"Yayati, Inc.",D,20251001,edgar/data/2084494/0002084494-25-000002.txt
2084494,"Yayati, Inc.",D,20251001,edgar/data/2084494/0002084494-25-000003.txt
2084494,"Yayati, Inc.",D,20251001,edgar/data/2084494/0002084494-25-000004.txt
2084618,Petershill Millennium Investors Offshore C LP,D,20251001,edgar/data/2084618/0002084618-25-000001.txt
2084810,Delta Seal Technology LLC,D,20251001,edgar/data/2084810/0002084810-25-000001.txt
2085058,"Salta Nona 1818, LLC",D,20251001,edgar/data/2085058/0002085058-25-000001.txt
2085124,Passco Vero Beach DST,D,20251001,edgar/data/2085124/0002085124-25-000001.txt
2085297,"VEEF III Co-Invest 3-A, L.P.",D,20251001,edgar/data/2085297/0002085297-25-000001.txt
2085521,"DaisyChain Capital Fund I, LLC",D,20251001,edgar/data/2085521/0002085521-25-000001.txt
2085583,RMF2 Edgewater Co-Invest LP,D,20251001,edgar/data/2085583/0002085583-25-000001.txt
2085613,"GE-0828 Fund I, a series of Multimodal Ventures, LP",D,20251001,edgar/data/2085613/0002085613-25-000001.txt
2085675,Island Green HAI LP,D,20251001,edgar/data/2085675/0002085675-25-000001.txt
2085937,"NE-0825 Fund I, a series of Riverside Ventures, LP",D,20251001,edgar/data/2085937/0002085937-25-000001.txt
2085986,NLC Health Investors DST,D,20251001,edgar/data/2085986/0000932440-25-000028.txt
2086361,"Ara Infra C-Fiber Co-Investment, LP",D,20251001,edgar/data/2086361/0000950103-25-012596.txt
2086363,"Ara Infra C-Fiber Blocked Co-Investment, LP",D,20251001,edgar/data/2086363/0000950103-25-012597.txt
2086387,Percheron Horsepower-B LP,D,20251001,edgar/data/2086387/0002086387-25-000001.txt
2086388,Percheron Horsepower-A LP,D,20251001,edgar/data/2086388/0002086388-25-000001.txt
2086389,Percheron Horsepower LP,D,20251001,edgar/data/2086389/0002086389-25-000001.txt
2086390,"Goldcrest Capital IV-B, LP",D,20251001,edgar/data/2086390/0002086390-25-000001.txt
2086392,"Goldcrest Capital IV-A, LP",D,20251001,edgar/data/2086392/0002086392-25-000001.txt
2086398,Conception Bio a Series of VUVP Fund LLC,D,20251001,edgar/data/2086398/0002086398-25-000001.txt
2086489,Youngsville Holding LLC,D,20251001,edgar/data/2086489/0001043039-25-000024.txt
2086625,"MO-0905 Fund I, a series of MV Funds, LP",D,20251001,edgar/data/2086625/0002086625-25-000001.txt
2086697,"HC9 Ventures II, L.P.",D,20251001,edgar/data/2086697/0002086697-25-000002.txt
2086809,FOG SWC SCIENCE FUND I a Series of FOG Ventures Fund III LLC,D,20251001,edgar/data/2086809/0002086809-25-000001.txt
2086812,LifeAhead a Series of SLRTE I LLC,D,20251001,edgar/data/2086812/0002086812-25-000001.txt
