firm,cik,phone,leads,title,money_raised
Lexaria Bioscience Corp.,0001348362,250-765-6424,"[{'name': 'Christopher Bunka', 'role': 'Director', 'cik': '0001348362'}, {'name': 'John Docherty', 'role': 'Executive Officer', 'cik': '0001348362'}, {'name': 'Richard Christopher', 'role': 'Executive Officer', 'cik': '0001348362'}, {'name': 'Michael Shankman', 'role': 'Executive Officer', 'cik': '0001348362'}, {'name': 'Nicholas Baxter', 'role': 'Director', 'cik': '0001348362'}, {'name': 'William McKechnie', 'role': 'Director', 'cik': '0001348362'}, {'name': 'Albert Reese', 'role': 'Director', 'cik': '0001348362'}, {'name': 'Bal Bhullar', 'role': 'Director', 'cik': '0001348362'}]",Director,4000000
SE-Las Colinas,0001409158,(925)-943-6080,"[{'name': 'LLC SE 54', 'role': 'Promoter', 'cik': '0001409158'}, {'name': 'Roger Coit', 'role': 'Executive Officer', 'cik': '0001409158'}, {'name': 'LLC COIT FINANCIAL GROUP II', 'role': 'Promoter', 'cik': '0001409158'}]",Promoter,0
Sequoia Equities - Innsbrook Village Ltd,0001409162,(925)-943-6080,"[{'name': 'LLC SE 53', 'role': 'Promoter', 'cik': '0001409162'}, {'name': 'Roger Coit', 'role': 'Executive Officer', 'cik': '0001409162'}, {'name': 'LLC COIT FINANCIAL GROUP II', 'role': 'Promoter', 'cik': '0001409162'}]",Promoter,0
Sequoia Equities - Innsbrook Village Ltd,0001409162,(925)-943-6080,"[{'name': 'LLC SE 53', 'role': 'Promoter', 'cik': '0001409162'}, {'name': 'LLC COIT FINANCIAL GROUP II', 'role': 'Promoter', 'cik': '0001409162'}, {'name': 'Roger Coit', 'role': 'Executive Officer', 'cik': '0001409162'}]",Executive Officer,0
Pantheon Resources plc,0001621910,44 20 7484 5359,"[{'name': 'John Cheatham', 'role': 'Executive Officer', 'cik': '0001621910'}, {'name': 'George Easley', 'role': 'Executive Officer', 'cik': '0001621910'}, {'name': 'Allegra Scheirer', 'role': 'Director', 'cik': '0001621910'}, {'name': 'Jeremy Brest', 'role': 'Director', 'cik': '0001621910'}, {'name': 'David Hobbs', 'role': 'Director', 'cik': '0001621910'}, {'name': 'Linda Havard', 'role': 'Director', 'cik': '0001621910'}, {'name': 'Martha Rutherford Munson', 'role': 'Director', 'cik': '0001621910'}]",Director,52527
"Flora Coatings, Inc.",0001744729,800-644-4070,"[{'name': 'Atul Tiwari', 'role': 'Executive Officer', 'cik': '0001744729'}, {'name': 'Anupama Chaturvedi', 'role': 'Executive Officer', 'cik': '0001744729'}, {'name': 'Sridhar Natarajan', 'role': 'Director', 'cik': '0001744729'}]",Director,165000
Ginkgo Multifamily OP LP,0001815598,704-944-0100,"[{'name': 'Eric Rohm', 'role': 'Executive Officer', 'cik': '0001815598'}, {'name': 'William Green', 'role': 'Executive Officer', 'cik': '0001815598'}, {'name': 'Jennifer Higbee', 'role': 'Executive Officer', 'cik': '0001815598'}, {'name': 'Eric Stamp', 'role': 'Executive Officer', 'cik': '0001815598'}, {'name': 'Ginkgo REIT Inc. Ginkgo REIT Inc.', 'role': 'Promoter', 'cik': '0001815598'}, {'name': 'Ginkgo Residential LLC Ginkgo Residential LLC', 'role': 'Promoter', 'cik': '0001815598'}]",Promoter,3500000
Frais Cannexion Inc.,0001842497,9784000240,"[{'name': 'William Seagaard', 'role': 'Executive Officer', 'cik': '0001842497'}, {'name': 'Samantha Seagaard', 'role': 'Executive Officer', 'cik': '0001842497'}, {'name': 'Zachary Swanson', 'role': 'Executive Officer', 'cik': '0001842497'}, {'name': 'Patrick Filler', 'role': 'Director', 'cik': '0001842497'}]",Director,1749981
CC USRL LP,0001866048,646.767.6611,"[{'name': 'N/A Connor Capital Transportation Opportunities I GP, LLC', 'role': 'Executive Officer', 'cik': '0001866048'}, {'name': 'N/A Connor Capital SB, LLC', 'role': 'Promoter', 'cik': '0001866048'}, {'name': 'John Connor', 'role': 'Promoter', 'cik': '0001866048'}]",Promoter,19673255
Hawaiian Bros Inc.,0001879942,(816) 708-0400,"[{'name': 'Scott Ford', 'role': 'Executive Officer', 'cik': '0001879942'}, {'name': 'Cameron McNie', 'role': 'Executive Officer', 'cik': '0001879942'}, {'name': 'John McNie', 'role': 'Executive Officer', 'cik': '0001879942'}, {'name': 'Joel Worcester', 'role': 'Director', 'cik': '0001879942'}, {'name': 'Carey Bendoraitis', 'role': 'Executive Officer', 'cik': '0001879942'}, {'name': 'Carol DiRaimo', 'role': 'Director', 'cik': '0001879942'}, {'name': 'Matt Lumpkin', 'role': 'Director', 'cik': '0001879942'}, {'name': 'Carin Stutz', 'role': 'Director', 'cik': '0001879942'}, {'name': 'Byron Parra', 'role': 'Director', 'cik': '0001879942'}, {'name': 'Cynthia Parres', 'role': 'Executive Officer', 'cik': '0001879942'}, {'name': 'Paul Hoffman', 'role': 'Executive Officer', 'cik': '0001879942'}]",Executive Officer,200000
