column_name,form_adv_item,description,data_type,notes,era_xml_column
FilingID,N/A - Metadata,Unique internal IARD/SEC identifier for this filing,string,System-generated,filing_id
FormVersion,N/A - Metadata,Version of Form ADV template used,string,,form_version
DateSubmitted,N/A - Metadata,Date the filing was submitted to IARD,date,,date_submitted
Execution Type,N/A - Metadata,Type of submission (Initial / Annual Amendment / Other Amendment),string,,execution_type
Signatory,N/A - Metadata,Name of the person who certified/signed the filing,string,,signatory
Execution Date,N/A - Metadata,Date the form was signed,date,,execution_date
Title,N/A - Metadata,Title/role of the signatory,string,,
1A,Item 1.A,Full legal name of the investment adviser,string,If SID of a bank use full bank legal name,_1_a
1B1,Item 1.B.1,Other business names (DBA names) used by the adviser,string,Links to Schedule D Section 1.B,_1_b1
1C-Legal,Item 1.C (Legal),SEC file number,string,Format: 801-XXXXX,
1C-Business,Item 1.C (Business),CRD registration number,string,,
1C-New Name,Item 1.C (New Name),New legal name if a name change is being reported,string,,
1D,Item 1.D,SEC-assigned adviser number (e.g. 801-XXXXX),string,,_1_d
1E1,Item 1.E.1,FINRA CRD registration number,string,Additional URLs in Schedule D,_1_e1
1F1-Street 1,Item 1.F.1,Principal office street address line 1,string,,_1_f1_street_1
1F1-Street 2,Item 1.F.1,Principal office street address line 2,string,,_1_f1_street_2
1F1-City,Item 1.F.1,Principal office city,string,,_1_f1_city
1F1-State,Item 1.F.1,Principal office state,string,Two-letter state code for US addresses,_1_f1_state
1F1-Country,Item 1.F.1,Principal office country,string,,_1_f1_country
1F1-Postal,Item 1.F.1,Principal office postal/ZIP code,string,,_1_f1_postal
1F1-Private,Item 1.F.1 (Private flag),Whether the principal office address is flagged as private/not public,boolean,Y = address suppressed from public display,
1F2-M-F,Item 1.F.2,Business hours Monday–Friday,string,,
1F2-Other,Item 1.F.2,Business hours other than Monday–Friday,string,,
1F2-Hours,Item 1.F.2,Total or additional business hours detail,string,,
1F3,Item 1.F.3,Primary phone number,string,,
1F4,Item 1.F.4,Fax number,string,,
1F5,Item 1.F.5,Name of Chief Compliance Officer (CCO),string,,
1G-Street 1,Item 1.G,Mailing address street line 1 (if different from principal office),string,Leave blank if same as 1.F,
1G-Street 2,Item 1.G,Mailing address street line 2,string,,
1G-City,Item 1.G,Mailing address city,string,,
1G-State,Item 1.G,Mailing address state,string,,
1G-Country,Item 1.G,Mailing address country,string,,
