raw_name,canonical_name
1270 ADMINISTRATOR LLC,1270 ADMINISTRATOR LLC
2020 ESHARES INC. DBA CARTA INC.,2020 ESHARES INC. DBA CARTA INC.
4PINES FUND SERVICES LLC,4PINES FUND SERVICES LLC
500 GLOBAL,500 GLOBAL
ABSOLUTE FUND ADMINISTRATION,ABSOLUTE FUND ADMINISTRATION
AD CARTA LLC,CARTA FUND SERVICES LLC
ADURO,ADURO ADVISORS LLC
ADURO ADVISERS,ADURO ADVISORS LLC
ADURO ADVISOR LLC,ADURO ADVISORS LLC
ADURO ADVISORS,ADURO ADVISORS LLC
ADURO ADVISORS LCC,ADURO ADVISORS LLC
ADURO ADVISORS LLC,ADURO ADVISORS LLC
ADURO GROUP,ADURO ADVISORS LLC
ADURO INVESTORS LLC,ADURO ADVISORS LLC
ADURO PARTNERS,ADURO ADVISORS LLC
ADVANCED FUND ADMINISTRATION,ADVANCED FUND ADMINISTRATION
ADVANTAGE CAPITAL MANAGEMENT CORPORATION,ADVANTAGE CAPITAL MANAGEMENT CORPORATION
AGORA,AGORA
AL ADVISORS MANAGEMENT INC.,ANGELLIST ADVISORS LLC
AL ADVISORS MANAGEMENT INC. ANGELLIST,ANGELLIST ADVISORS LLC
ALLEGHENY CONFERENCE ON COMMUNITY DEVELOPMENT,ALLEGHENY CONFERENCE ON COMMUNITY DEVELOPMENT
ALLOCATIONS,ALLOCATIONS FUND ADMINISTRATION LLC
ALLOCATIONS FUND ADMINISTRATION LLC,ALLOCATIONS FUND ADMINISTRATION LLC
ALLOCATIONS FUND SERVICES,ALLOCATIONS FUND ADMINISTRATION LLC
ALLOCATIONS INC,ALLOCATIONS FUND ADMINISTRATION LLC
ALLOCATIONS INC.,ALLOCATIONS FUND ADMINISTRATION LLC
ALPHA ADMINISTRATION LLC,ALPHA ADMINISTRATION LLC
ALPHA ALT FUND SERVICES LLC,ALPHA ALT FUND SERVICES LLC
ALPS ALTERNATIVE INVESTMENT SERVICES LLC,ALPS ALTERNATIVE INVESTMENT SERVICES LLC
ALTA TRUST COMPANY,ALTA TRUST COMPANY
ALTER DOMUS,ALTER DOMUS CAPITAL MARKET SERVICES
ALTER DOMUS CAPITAL MARKET SERVICES,ALTER DOMUS CAPITAL MARKET SERVICES
ALTER DOMUS NORTH AMERICA,ALTER DOMUS CAPITAL MARKET SERVICES
ALTER DOMUS STRATA FUND SOLUTIONS LLC,ALTER DOMUS CAPITAL MARKET SERVICES
ALTER DOMUS US LLC,ALTER DOMUS CAPITAL MARKET SERVICES
ALTERDOMUS,ALTER DOMUS CAPITAL MARKET SERVICES
ALTERNATIVE FINANCIAL CORPORATION,ALTERNATIVE FINANCIAL CORPORATION
ALTPILOT LLC,ALTPILOT LLC
ANCHOR POINT,ANCHOR POINT
ANDERSEN TAX LLC,ANDERSEN TAX LLC
ANDERSON TAX,ANDERSEN TAX LLC
ANGELLIST,ANGELLIST ADVISORS LLC
ANGELLIST ADVISORS LLC,ANGELLIST ADVISORS LLC
ANGLEL LIST/BELLTOWER FUNDS,ANGELLIST ADVISORS LLC
APEX,APEX FUND SERVICES LLC
APEX BUSINESS SERVICES,APEX FUND SERVICES LLC
APEX BUSINESS SERVICES USA LLC,APEX FUND SERVICES LLC
APEX FUND ADMINISTRATORS PREVIOUSLY KNOWN AS BROADSCOPE,APEX FUND SERVICES LLC
APEX FUND AND CORPORATE SERVICES TEXAS LTD.,APEX FUND SERVICES LLC
APEX FUND AND CUSTODY SERVICES LLC,APEX FUND SERVICES LLC
APEX FUND SERVICES,APEX FUND SERVICES LLC
APEX FUND SERVICES ATLANTA LLC,APEX FUND SERVICES LLC
APEX FUND SERVICES CHARLOTTE LLC,APEX FUND SERVICES LLC
APEX FUND SERVICES CHICAGO LLC,APEX FUND SERVICES LLC
APEX FUND SERVICES INDIANA INC.,APEX FUND SERVICES LLC
APEX FUND SERVICES LLC,APEX FUND SERVICES LLC
APEX FUND SERVICES SFO LLC,APEX FUND SERVICES LLC
APEX FUND SERVICES USA LLC,APEX FUND SERVICES LLC
APEX FUND SOLUTIONS INDIANA INC,APEX FUND SERVICES LLC
APEX GROUP,APEX FUND SERVICES LLC
APEX GROUP LTD,APEX FUND SERVICES LLC
APEX GROUP LTD.,APEX FUND SERVICES LLC
APEX US HOLDINGS LTD DBA BROADSCOPE FUND ADMINISTRATORS LLC,APEX FUND SERVICES LLC
ARCHWAY TECHNOLOGY PARTNERS INC.,ARCHWAY TECHNOLOGY PARTNERS INC.
ARCIS CAPITAL MANAGEMENT INC.,ARCIS CAPITAL MANAGEMENT INC.
ARMANINO ADVISORY LLC,ARMANINO ADVISORY LLC
ARMANINO LLP,ARMANINO ADVISORY LLC
ARTEX CAPITAL SOLUTIONS INC.,ARTEX CAPITAL SOLUTIONS INC.
ASCENT FUND SERVICES USA LLC,ASCENT FUND SERVICES USA LLC
ASSURE FUND MANAGEMENT II LLC,ASSURE FUND MANAGEMENT II LLC
ATLAS FUND SERVICES LLC,ATLAS FUND SERVICES LLC
AUDENA CONSULTING LLC,AUDENA CONSULTING LLC
